"Type","Start","End","Duration","Start Condition","Start Location","End Condition","Notes"
"Potty","2024-08-25 12:50",,,,,"Pee",
"Potty","2024-08-25 11:20",,,,,"Pee",
"Potty","2024-08-25 09:53",,,,,"Pee",
"Potty","2024-08-25 08:45",,,,,"Pee",
"Potty","2024-08-25 07:10",,,,,"Both",
"Sleep","2024-08-24 19:26","2024-08-25 04:45","09:19",,,,
"Potty","2024-08-24 18:31",,,,,"Pee",
"Potty","2024-08-24 17:49",,,,,"Pee",
"Potty","2024-08-24 15:55",,,,,"Pee",
"Potty","2024-08-24 14:08",,,,,"Pee",
"Potty","2024-08-24 13:35",,,,,"Pee",
"Potty","2024-08-24 12:10",,,,,"Pee",
"Potty","2024-08-24 10:48",,,,,"Pee",
"Potty","2024-08-24 09:00",,,,,"Pee",
"Potty","2024-08-24 07:40",,,,,"Pee",
"Sleep","2024-08-23 19:55","2024-08-24 07:20","11:25",,,,
"Potty","2024-08-23 18:58",,,,,"Pee",
"Potty","2024-08-23 17:10",,,,,"Pee",
"Potty","2024-08-23 15:51",,,,,"Pee",
"Potty","2024-08-23 14:20",,,,,"Both",
"Potty","2024-08-23 13:29",,,,,"Pee",
"Potty","2024-08-23 12:00",,,,,"Pee",
"Potty","2024-08-23 09:30",,,,,"Pee",
"Potty","2024-08-23 08:45",,,,,"Pee","Intentional on the floor"
"Potty","2024-08-23 08:30",,,,,"Pee",
"Potty","2024-08-23 07:07",,,,,"Pee",
"Sleep","2024-08-22 20:20","2024-08-23 06:35","10:15",,,,
"Potty","2024-08-22 17:48",,,,,"Both",
"Potty","2024-08-22 17:15",,,,,"Pee",
"Potty","2024-08-22 15:30",,,,,"Pee",
"Sleep","2024-08-22 13:11","2024-08-22 14:30","01:18",,,,
"Potty","2024-08-22 12:35",,,,,"Pee",
"Potty","2024-08-22 11:00",,,,,"Poo",
"Potty","2024-08-22 09:30",,,,,"Pee",
"Potty","2024-08-22 08:05",,,,,"Pee",
"Sleep","2024-08-21 19:21","2024-08-22 06:20","10:59",,,,
"Potty","2024-08-21 18:18",,,,,"Pee",
"Potty","2024-08-21 17:50",,,,,"Pee",
"Potty","2024-08-21 16:08",,,,,"Pee",
"Potty","2024-08-21 15:03",,,,,"Pee",
"Potty","2024-08-21 13:24",,,,,"Pee",
"Potty","2024-08-21 11:00",,,,,"Pee",
"Potty","2024-08-21 09:30",,,,,"Pee",
"Potty","2024-08-21 08:30",,,,,"Pee",
"Potty","2024-08-21 07:10",,,,,"Pee",
"Sleep","2024-08-20 19:15","2024-08-21 06:30","11:15",,,,
"Potty","2024-08-20 17:55",,,,,"Pee",
"Potty","2024-08-20 17:00",,,,,"Dry",
"Potty","2024-08-20 14:52",,,,,"Pee",
"Potty","2024-08-20 12:50",,,,,"Both",
"Potty","2024-08-20 10:46",,,,,"Pee",
"Potty","2024-08-20 08:45",,,,,"Pee",
"Sleep","2024-08-19 20:21","2024-08-20 06:24","10:03",,,,
"Potty","2024-08-19 19:25",,,,,"Pee",
"Potty","2024-08-19 17:42",,,,,"Pee",
"Potty","2024-08-19 16:00",,,,,"Pee",
"Potty","2024-08-19 14:43",,,,,"Pee",
"Sleep","2024-08-19 12:53","2024-08-19 14:28","01:35",,,,
"Potty","2024-08-19 12:33",,,,,"Pee",
"Potty","2024-08-19 11:45",,,,,"Pee",
"Potty","2024-08-19 10:15",,,,,"Poo","At school "
"Potty","2024-08-19 09:45",,,,,"Pee",
"Potty","2024-08-19 08:31",,,,,"Pee",
"Potty","2024-08-19 07:31",,,,,"Pee",
"Sleep","2024-08-18 19:22","2024-08-19 06:20","10:58",,,,
"Potty","2024-08-18 18:30",,,,,"Pee",
"Potty","2024-08-18 16:52",,,,,"Pee",
"Potty","2024-08-18 15:15",,,,,"Pee",
"Potty","2024-08-18 13:30",,,,,"Pee",
"Potty","2024-08-18 11:43",,,,,"Pee",
"Potty","2024-08-18 10:27",,,,,"Poo",
"Potty","2024-08-18 10:04",,,,,"Pee",
"Potty","2024-08-18 08:29",,,,,"Pee",
"Sleep","2024-08-17 19:00","2024-08-18 07:02","12:02",,,,
"Potty","2024-08-17 18:22",,,,,"Dry",
"Potty","2024-08-17 17:17",,,,,"Pee",
"Potty","2024-08-17 15:33",,,,,"Pee",
"Potty","2024-08-17 13:20",,,,,"Pee",
"Potty","2024-08-17 11:50",,,,,"Poo","Eken park"
"Potty","2024-08-17 11:09",,,,,"Pee",
"Potty","2024-08-17 10:05",,,,,"Pee",
"Potty","2024-08-17 08:45",,,,,"Pee",
"Potty","2024-08-17 06:45",,,,,"Pee",
"Sleep","2024-08-16 19:40","2024-08-17 06:30","10:50",,,,
"Potty","2024-08-16 18:30",,,,,"Poo","With grandparents "
"Potty","2024-08-16 17:15",,,,,"Pee",
"Potty","2024-08-16 14:58",,,,,"Pee",
"Potty","2024-08-16 12:58",,,,,"Pee",
"Potty","2024-08-16 11:30",,,,,"Pee",
"Potty","2024-08-16 10:43",,,,,"Pee",
"Potty","2024-08-16 09:20",,,,,"Pee",
"Sleep","2024-08-15 19:05","2024-08-16 07:00","11:55",,,,
"Potty","2024-08-15 18:30",,,,,"Pee",
"Potty","2024-08-15 17:23",,,,,"Pee",
"Potty","2024-08-15 15:20",,,,,"Pee",
"Potty","2024-08-15 13:10",,,,,"Pee:large",
"Potty","2024-08-15 11:00",,,,,"Pee","At school"
"Potty","2024-08-15 09:30",,,,,"Pee",
"Potty","2024-08-15 08:27",,,,,"Pee",
"Potty","2024-08-15 07:40",,,,,"Both",
"Potty","2024-08-15 07:29",,,,,"Pee",
"Sleep","2024-08-14 20:35","2024-08-15 07:05","10:30",,,,
"Potty","2024-08-14 19:30",,,,,"Pee",
"Potty","2024-08-14 17:00",,,,,"Both",
"Potty","2024-08-14 15:59",,,,,"Pee",
"Potty","2024-08-14 15:03",,,,,"Dry",
"Sleep","2024-08-14 13:38","2024-08-14 14:54","01:16",,,,
"Potty","2024-08-14 12:49",,,,,"Pee",
"Potty","2024-08-14 11:00",,,,,"Pee",
"Potty","2024-08-14 09:30",,,,,"Pee",
"Potty","2024-08-14 08:15",,,,,"Pee",
"Potty","2024-08-14 07:10",,,,,"Pee:medium",
"Sleep","2024-08-13 19:25","2024-08-14 05:32","10:07",,,,
"Potty","2024-08-13 18:37",,,,,"Pee",
"Potty","2024-08-13 17:10",,,,,"Poo",
"Potty","2024-08-13 16:49",,,,,"Pee",
"Potty","2024-08-13 15:30",,,,,"Pee",
"Potty","2024-08-13 12:55",,,,,"Pee",
"Potty","2024-08-13 11:02",,,,,"Pee",
"Potty","2024-08-13 08:55",,,,,"Pee",
"Potty","2024-08-13 07:20",,,,,"Pee:large",
"Sleep","2024-08-12 19:30","2024-08-13 07:05","11:35",,,,
"Potty","2024-08-12 18:28",,,,,"Pee",
"Potty","2024-08-12 17:30",,,,,"Pee",
"Potty","2024-08-12 16:20",,,,,"Pee:medium",
"Potty","2024-08-12 14:38",,,,,"Pee",
"Potty","2024-08-12 12:15",,,,,"Pee","At school"
"Potty","2024-08-12 11:30",,,,,"Dry","At school "
"Potty","2024-08-12 11:00",,,,,"Poo","At school "
"Potty","2024-08-12 09:30",,,,,"Pee","At school "
"Potty","2024-08-12 08:30",,,,,"Pee","At school with me"
"Potty","2024-08-12 07:40",,,,,"Both",
"Potty","2024-08-12 07:30",,,,,"Pee:small",
"Potty","2024-08-12 06:38",,,,,"Pee:large",
"Sleep","2024-08-11 18:55","2024-08-12 06:13","11:18",,,,
"Potty","2024-08-11 18:25",,,,,"Pee",
"Potty","2024-08-11 16:16",,,,,"Pee",
"Potty","2024-08-11 14:18",,,,,"Pee","Only a little on shorts, most went in potty, and he told us it was happening "
"Potty","2024-08-11 11:52",,,,,"Pee",
"Potty","2024-08-11 10:06",,,,,"Both, pee:small",
"Potty","2024-08-11 09:32",,,,,"Pee:large",
"Sleep","2024-08-10 19:05","2024-08-11 06:15","11:10",,,,
"Potty","2024-08-10 17:10",,,,,"Pee","Vocalized that he needed to go, with shorts on!"
"Potty","2024-08-10 15:58",,,,,"Pee",
"Potty","2024-08-10 13:43",,,,,"Pee",
"Potty","2024-08-10 13:20",,,,,"Poo",
"Potty","2024-08-10 12:10",,,,,"Pee","Finished in potty, most pee went in potty"
"Potty","2024-08-10 09:44",,,,,"Pee",
"Potty","2024-08-10 06:50",,,,,"Pee:large",
"Sleep","2024-08-09 19:35","2024-08-10 06:40","11:05",,,,
"Potty","2024-08-09 18:35",,,,,"Pee",
"Potty","2024-08-09 18:25",,,,,"Poo","He identified that he needed to go but didn't make it in time"
"Potty","2024-08-09 16:07",,,,,"Pee",
"Potty","2024-08-09 13:41",,,,,"Poo",
"Potty","2024-08-09 13:26",,,,,"Pee",
"Potty","2024-08-09 11:45",,,,,"Pee",
"Potty","2024-08-09 09:33",,,,,"Pee",
"Sleep","2024-08-08 19:05","2024-08-09 06:30","11:25",,,,
"Potty","2024-08-08 17:30",,,,,"Pee:medium",
"Potty","2024-08-08 15:30",,,,,"Pee",
"Potty","2024-08-08 13:15",,,,,"Pee:small",
"Potty","2024-08-08 12:20",,,,,"Pee","At school"
"Potty","2024-08-08 11:05",,,,,"Pee","At school"
"Potty","2024-08-08 10:45",,,,,"Pee","At school"
"Potty","2024-08-08 09:15",,,,,"Poo","At school"
"Potty","2024-08-08 08:33",,,,,"Pee:small","At school, with me"
"Potty","2024-08-08 08:00",,,,,"Pee:large",
"Sleep","2024-08-07 19:15","2024-08-08 06:02","10:47",,,,
"Potty","2024-08-07 18:25",,,,,"Pee",
"Potty","2024-08-07 17:05",,,,,"Pee","Finished on potty"
"Potty","2024-08-07 16:00",,,,,"Pee",
"Potty","2024-08-07 15:38",,,,,"Pee",
"Potty","2024-08-07 15:30",,,,,"Dry",
"Potty","2024-08-07 15:00",,,,,"Dry",
"Potty","2024-08-07 14:30",,,,,"Dry",
"Potty","2024-08-07 14:00",,,,,"Dry",
"Potty","2024-08-07 13:03",,,,,"Poo",
"Potty","2024-08-07 11:53",,,,,"Pee",
"Potty","2024-08-07 09:50",,,,,"Poo",
"Potty","2024-08-07 09:40",,,,,"Pee","Finished in potty"
"Sleep","2024-08-06 19:10","2024-08-07 06:15","11:05",,,,
"Potty","2024-08-06 17:30",,,,,"Pee:large",
"Potty","2024-08-06 16:27",,,,,"Dry",
"Potty","2024-08-06 14:18",,,,,"Pee:small",
"Potty","2024-08-06 12:23",,,,,"Pee",
"Potty","2024-08-06 10:40",,,,,"Pee",
"Potty","2024-08-06 08:45",,,,,"Both","Finished on potty"
"Potty","2024-08-06 08:33",,,,,"Dry",
"Sleep","2024-08-05 19:35","2024-08-06 06:34","10:59",,,,
"Potty","2024-08-05 18:30",,,,,"Dry",
"Potty","2024-08-05 17:45",,,,,"Dry",
"Potty","2024-08-05 16:00",,,,,"Pee",
"Potty","2024-08-05 13:45",,,,,"Pee",
"Potty","2024-08-05 13:25",,,,,"Poo","Finished in potty"
"Potty","2024-08-05 11:40",,,,,"Pee:medium",
"Potty","2024-08-05 08:28",,,,,"Pee:medium",
"Potty","2024-08-05 08:20",,,,,"Dry",
"Sleep","2024-08-04 19:05","2024-08-05 06:00","10:55",,,,
"Potty","2024-08-04 16:30",,,,,"Both",
"Potty","2024-08-04 15:25",,,,,"Pee",
"Potty","2024-08-04 15:13",,,,,"Dry",
"Potty","2024-08-04 14:10",,,,,"Dry",
"Potty","2024-08-04 13:30",,,,,"Dry",
"Potty","2024-08-04 12:45",,,,,"Dry",
"Potty","2024-08-04 11:35",,,,,"Pee:medium",
"Potty","2024-08-04 11:00",,,,,"Pee:large",
"Potty","2024-08-04 08:45",,,,,"Both, pee:small","Finished in potty"
"Sleep","2024-08-03 19:15","2024-08-04 06:20","11:05",,,,
"Potty","2024-08-03 16:45",,,"Solid",,"Poo",
"Potty","2024-08-03 16:00",,,,,"Pee:large",
"Potty","2024-08-03 14:40",,,,,"Pee",
"Potty","2024-08-03 12:30",,,,,"Pee","Finished in potty"
"Potty","2024-08-03 10:30",,,,,"Pee",
"Potty","2024-08-03 09:15",,,,,"Pee",
"Sleep","2024-08-02 19:40","2024-08-03 06:13","10:33",,,,
"Sleep","2024-08-01 19:00","2024-08-02 07:43","12:43",,,,
"Sleep","2024-07-31 19:00","2024-08-01 05:00","10:00",,,,
"Sleep","2024-07-30 19:15","2024-07-31 07:00","11:45",,,,
"Sleep","2024-07-29 19:20","2024-07-30 05:25","10:05",,,,
"Sleep","2024-07-28 18:50","2024-07-29 05:53","11:03",,,,
"Sleep","2024-07-27 19:05","2024-07-28 06:15","11:10",,,,
"Sleep","2024-07-26 19:20","2024-07-27 06:00","10:40",,,,
"Sleep","2024-07-25 20:20","2024-07-26 06:27","10:07",,,,
"Sleep","2024-07-25 12:57","2024-07-25 14:29","01:32",,,,
"Sleep","2024-07-24 19:14","2024-07-25 04:35","09:21",,,,
"Sleep","2024-07-23 19:10","2024-07-24 06:15","11:05",,,,
"Sleep","2024-07-22 19:00","2024-07-23 06:31","11:31",,,,
"Sleep","2024-07-22 04:48","2024-07-22 07:20","02:32",,,,
"Sleep","2024-07-21 16:40","2024-07-22 01:40","09:00",,,,
"Sleep","2024-07-20 19:05","2024-07-21 06:05","11:00",,,,
"Sleep","2024-07-19 19:05","2024-07-20 06:26","11:21",,,,
"Sleep","2024-07-18 19:15","2024-07-19 06:13","10:58",,,,
"Sleep","2024-07-17 20:20","2024-07-18 06:30","10:10",,,,
"Sleep","2024-07-17 13:02","2024-07-17 14:14","01:12",,,,
"Sleep","2024-07-16 18:55","2024-07-17 05:00","10:05",,,,
"Sleep","2024-07-16 01:00","2024-07-16 06:45","05:45",,,,
"Sleep","2024-07-15 19:15","2024-07-16 00:30","05:15",,,,
"Sleep","2024-07-14 19:10","2024-07-15 06:15","11:05",,,,
"Sleep","2024-07-13 18:52","2024-07-14 07:01","12:09",,,,
"Sleep","2024-07-12 19:15","2024-07-13 06:00","10:45",,,,
"Sleep","2024-07-11 18:50","2024-07-12 06:43","11:53",,,,
"Sleep","2024-07-10 19:05","2024-07-11 06:19","11:14",,,,
"Sleep","2024-07-09 19:10","2024-07-10 06:15","11:05",,,,
"Sleep","2024-07-08 19:05","2024-07-09 06:00","10:55",,,,
"Sleep","2024-07-07 20:15","2024-07-08 06:38","10:23",,,,
"Sleep","2024-07-07 13:53","2024-07-07 15:02","01:09",,,,
"Sleep","2024-07-06 19:00","2024-07-07 05:30","10:30",,,,
"Sleep","2024-07-05 20:15","2024-07-06 06:48","10:33",,,,
"Sleep","2024-07-05 02:20","2024-07-05 08:35","06:15",,,,
"Sleep","2024-07-04 19:25","2024-07-05 01:20","05:55",,,,
"Sleep","2024-07-03 19:10","2024-07-04 06:40","11:30",,,,
"Sleep","2024-07-02 19:12","2024-07-03 07:06","11:53",,,,
"Sleep","2024-07-01 19:05","2024-07-02 06:40","11:35",,,,
"Sleep","2024-06-30 21:45","2024-07-01 07:32","09:47",,,,
"Sleep","2024-06-30 14:13","2024-06-30 15:40","01:27",,,,
"Sleep","2024-06-29 20:03","2024-06-30 06:37","10:34",,,,
"Sleep","2024-06-29 02:00","2024-06-29 08:20","06:20",,,,
"Sleep","2024-06-28 19:15","2024-06-28 22:00","02:45",,,,
"Sleep","2024-06-27 19:10","2024-06-28 06:15","11:05",,,,
"Sleep","2024-06-26 19:15","2024-06-27 06:40","11:25",,,,
"Sleep","2024-06-25 20:40","2024-06-26 07:15","10:35",,,,
"Sleep","2024-06-25 12:41","2024-06-25 14:05","01:23",,,,
"Sleep","2024-06-24 19:20","2024-06-25 06:48","11:28",,,,
"Sleep","2024-06-23 19:10","2024-06-24 06:00","10:50",,,,
"Sleep","2024-06-22 19:00","2024-06-23 07:00","12:00",,,,
"Sleep","2024-06-21 18:45","2024-06-22 06:26","11:41",,,,
"Sleep","2024-06-20 19:05","2024-06-21 06:05","11:00",,,,
"Sleep","2024-06-19 19:00","2024-06-20 06:47","11:47",,,,
"Sleep","2024-06-18 19:00","2024-06-19 07:20","12:20",,,,
"Sleep","2024-06-17 19:05","2024-06-18 07:00","11:55",,,,
"Sleep","2024-06-16 19:10","2024-06-17 07:00","11:50",,,,
"Sleep","2024-06-15 20:00","2024-06-16 07:00","11:00",,,,
"Sleep","2024-06-15 13:33","2024-06-15 15:00","01:27",,,,
"Sleep","2024-06-14 19:30","2024-06-15 06:20","10:50",,,,
"Sleep","2024-06-13 19:25","2024-06-14 07:00","11:35",,,,
"Sleep","2024-06-12 19:15","2024-06-13 07:00","11:45",,,,
"Sleep","2024-06-11 19:15","2024-06-12 07:00","11:45",,,,
"Sleep","2024-06-10 19:10","2024-06-11 06:55","11:45",,,,
"Sleep","2024-06-09 18:45","2024-06-10 05:45","11:00",,,,
"Sleep","2024-06-08 19:15","2024-06-09 07:05","11:50",,,,
"Sleep","2024-06-07 19:20","2024-06-08 06:45","11:25",,,,
"Sleep","2024-06-06 19:12","2024-06-07 07:00","11:48",,,,
"Sleep","2024-06-05 19:30","2024-06-06 07:08","11:38",,,,
"Sleep","2024-06-04 19:30","2024-06-05 06:45","11:15",,,,
"Sleep","2024-06-03 19:45","2024-06-04 06:45","11:00",,,,
"Sleep","2024-06-03 14:27","2024-06-03 15:25","00:58",,,,
"Sleep","2024-06-02 19:10","2024-06-03 07:00","11:50",,,,
"Sleep","2024-06-01 19:15","2024-06-02 06:57","11:42",,,,
"Sleep","2024-05-31 20:05","2024-06-01 06:45","10:40",,,,
"Sleep","2024-05-31 12:45","2024-05-31 13:25","00:40",,,,
"Sleep","2024-05-30 19:00","2024-05-31 06:42","11:42",,,,
"Sleep","2024-05-29 19:20","2024-05-30 06:41","11:21",,,,
"Sleep","2024-05-29 05:55","2024-05-29 07:05","01:10",,,,
"Sleep","2024-05-28 18:57","2024-05-29 05:18","10:21",,,,
"Sleep","2024-05-27 20:20","2024-05-28 06:20","10:00",,,,
"Sleep","2024-05-27 12:41","2024-05-27 14:16","01:35",,,,
"Sleep","2024-05-26 19:58","2024-05-27 06:45","10:47",,,,
"Sleep","2024-05-25 20:10","2024-05-26 07:10","11:00",,,,
"Sleep","2024-05-24 20:20","2024-05-25 07:15","10:55",,,,
"Sleep","2024-05-23 20:25","2024-05-24 07:03","10:38",,,,
"Sleep","2024-05-22 23:25","2024-05-23 08:38","09:12",,,,
"Sleep","2024-05-22 13:33","2024-05-22 15:04","01:31",,,,
"Sleep","2024-05-21 20:45","2024-05-22 06:25","09:40",,,,
"Sleep","2024-05-21 12:35","2024-05-21 14:05","01:30",,,,
"Sleep","2024-05-20 19:19","2024-05-21 06:25","11:06",,,,
"Sleep","2024-05-19 19:15","2024-05-20 06:25","11:10",,,,
"Sleep","2024-05-18 19:05","2024-05-19 05:55","10:50",,,,
"Sleep","2024-05-17 21:55","2024-05-18 06:15","08:20",,,,
"Sleep","2024-05-17 13:10","2024-05-17 14:15","01:05",,,,
"Sleep","2024-05-16 19:30","2024-05-17 06:40","11:10",,,,
"Sleep","2024-05-15 19:20","2024-05-16 06:40","11:20",,,,
"Sleep","2024-05-14 19:25","2024-05-15 06:15","10:50",,,,
"Sleep","2024-05-13 19:30","2024-05-14 06:44","11:14",,,,
"Sleep","2024-05-12 20:40","2024-05-13 06:05","09:25",,,,
"Sleep","2024-05-12 13:15","2024-05-12 14:14","00:59",,,,
"Sleep","2024-05-11 19:18","2024-05-12 06:15","10:57",,,,
"Sleep","2024-05-10 19:40","2024-05-11 06:45","11:05",,,,
"Sleep","2024-05-09 20:40","2024-05-10 06:55","10:15",,,,
"Sleep","2024-05-09 13:05","2024-05-09 14:15","01:10",,,,
"Sleep","2024-05-08 20:45","2024-05-09 06:25","09:40",,,,
"Sleep","2024-05-07 19:30","2024-05-08 06:46","11:16",,,,
"Sleep","2024-05-07 13:07","2024-05-07 13:14","00:07",,,,
"Sleep","2024-05-06 20:25","2024-05-07 06:15","09:50",,,,
"Sleep","2024-05-06 12:52","2024-05-06 14:15","01:23",,,,
"Sleep","2024-05-05 19:05","2024-05-06 06:30","11:25",,,,
"Sleep","2024-05-04 19:40","2024-05-05 06:25","10:45",,,,
"Sleep","2024-05-03 20:25","2024-05-04 06:39","10:14",,,,
"Sleep","2024-05-03 12:55","2024-05-03 14:20","01:25",,,,
"Sleep","2024-05-02 19:25","2024-05-03 06:24","10:59",,,,
"Sleep","2024-05-01 20:40","2024-05-02 06:41","10:01",,,,
"Sleep","2024-05-01 12:57","2024-05-01 14:19","01:22",,,,
"Sleep","2024-04-30 20:15","2024-05-01 06:25","10:10",,,,
"Sleep","2024-04-30 19:15","2024-04-30 19:45","00:30",,,,
"Sleep","2024-04-29 20:35","2024-04-30 06:30","09:55",,,,
"Sleep","2024-04-29 12:49","2024-04-29 14:06","01:17",,,,
"Sleep","2024-04-28 19:15","2024-04-29 06:35","11:20",,,,
"Sleep","2024-04-27 20:40","2024-04-28 07:00","10:20",,,,
"Sleep","2024-04-27 12:25","2024-04-27 14:21","01:56",,,,
"Sleep","2024-04-26 20:55","2024-04-27 06:00","09:05",,,,
"Sleep","2024-04-26 13:10","2024-04-26 14:25","01:15",,,,
"Sleep","2024-04-25 21:03","2024-04-26 06:58","09:55",,,,
"Sleep","2024-04-25 13:06","2024-04-25 14:45","01:39",,,,
"Sleep","2024-04-24 19:25","2024-04-25 05:30","10:05",,,,
"Sleep","2024-04-23 20:20","2024-04-24 06:38","10:18",,,,
"Sleep","2024-04-23 12:31","2024-04-23 14:29","01:58",,,,
"Sleep","2024-04-23 01:20","2024-04-23 06:35","05:15",,,,
"Sleep","2024-04-22 19:45","2024-04-23 00:21","04:36",,,,
"Sleep","2024-04-21 20:45","2024-04-22 06:42","09:57",,,,
"Sleep","2024-04-21 12:54","2024-04-21 14:00","01:05",,,,
"Sleep","2024-04-20 20:30","2024-04-21 06:35","10:05",,,,
"Sleep","2024-04-20 12:57","2024-04-20 14:10","01:12",,,,
"Sleep","2024-04-19 20:35","2024-04-20 06:45","10:10",,,,
"Sleep","2024-04-19 13:08","2024-04-19 14:05","00:56",,,,
"Sleep","2024-04-18 20:00","2024-04-19 06:48","10:48",,,,
"Sleep","2024-04-17 20:50","2024-04-18 06:49","09:59",,,,
"Sleep","2024-04-17 13:11","2024-04-17 14:22","01:11",,,,
"Sleep","2024-04-16 23:08","2024-04-17 07:32","08:24",,,,
"Sleep","2024-04-16 13:06","2024-04-16 14:30","01:23",,,,
